ZCTA,COUNTY,ZCTA_POP,AREA,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,EP_LIMENG,EP_MINRTY,F_MINRTY,EP_CROWD,EP_POV,F_POV
76455,Comanche,1860,276.278731674248,0.6271,0.539,0.4057,0.508,0.5478,4.9,34.4,0,3.1,14.2,0
76457,Bosque,98910,6974.959245941371,0.3943,0.5965199999999999,0.293,0.45758,0.41502,3.9799999999999995,22.9,0,3.9799999999999995,14.7,0
76458,Jack,26526,2732.818271781276,0.45239999999999997,0.5638,0.21663333333333332,0.5972999999999999,0.4529,3.533333333333333,21.733333333333334,0,3.1333333333333333,14.466666666666667,0
76459,Jack,11340,1810.257886537456,0.40445,0.39025,0.09905,0.5213,0.3346,0.8,18.749999999999996,0,1.7999999999999998,12.05,0
76460,Young,4170,285.625261090068,0.4266,0.6399,0.1565,0.7255,0.481,1.4,23.5,0,2.7,10.5,0
76462,Erath,85272,3670.5858371931604,0.24975,0.38737499999999997,0.0901,0.40857499999999997,0.2391,1,13.75,0,3.4,8.125,0
76463,Erath,38682,2526.825198764718,0.3679333333333334,0.3457333333333333,0.21476666666666666,0.37063333333333337,0.3011,2.9000000000000004,17.2,0,2.1,14.5,0
76464,Callahan,34863,7037.257873530012,0.5622,0.5914,0.08390000000000002,0.6829333333333333,0.5,0.9666666666666667,14.9,0,3.0666666666666664,14.4,0
76466,Eastland,5861,152.375443104296,0.6216,0.6361,0.3975,0.9164,0.7026,6.3,27.4,0,5.4,27.2,0
76469,Callahan,4938,560.416934424886,0.4844,0.6001,0.0729,0.6511,0.4501,0.7,16.1,0,2.4,14.4,0
76470,Eastland,58348,5594.909900911344,0.590325,0.590975,0.1867,0.776025,0.5761,2.6,19.4,0,2.475,20.4,0
76471,Brown,21684,2516.743219942686,0.3834666666666667,0.6365999999999999,0.11406666666666666,0.3949666666666667,0.3505333333333333,1.633333333333333,10.699999999999998,0,1.8999999999999997,11.366666666666665,0
76472,Palo Pinto,3905,284.206174077228,0.2514,0.4447,0.0113,0.5626,0.2767,0.1,7.7,0,2.9,9.8,0
76474,Brown,10432,1299.99566948042,0.227,0.6017,0.12655000000000002,0.24725000000000003,0.23175,1.85,10.2,0,0.9,9.700000000000001,0
76475,Palo Pinto,50064,6504.794902670352,0.49452500000000005,0.527325,0.0935,0.5966,0.43565,1.1,14.575000000000001,0,2.25,13.575000000000001,0
76476,Hood,18026,498.946331146792,0.27490000000000003,0.3756,0.016050000000000002,0.69565,0.3149,0.05,12.85,0,3.25,9.7,0
76481,Stephens,18572,2987.557872495692,0.488,0.5462,0.06085,0.6647,0.444,0.6,15.55,0,2.6,12.85,0
76483,Throckmorton,1567,912.551862327288,0.4876,0.7338,0.0455,0.478,0.4234,0.3,17.5,0,0,14.7,0
76484,Palo Pinto,3905,284.206174077228,0.2514,0.4447,0.0113,0.5626,0.2767,0.1,7.7,0,2.9,9.8,0
76486,Jack,30312,2148.553878214968,0.3708666666666667,0.4479333333333333,0.1145,0.43416666666666665,0.31906666666666667,1.6333333333333335,11.166666666666666,0,1.9333333333333333,10.533333333333333,0
76487,Parker,124435,3677.82916862846,0.422,0.45810000000000006,0.10815999999999999,0.3912,0.32392,1.54,11.219999999999999,0,2.04,10.16,0
76490,Parker,4628,133.594017494018,0.4385,0.3371,0.1691,0.5509,0.3754,2.4,12.6,0,0.6,6.4,0
76491,Throckmorton,1567,912.551862327288,0.4876,0.7338,0.0455,0.478,0.4234,0.3,17.5,0,0,14.7,0
76501,Bell,411730,4185.932473186375,0.6786181818181819,0.8562636363636364,0.4110545454545455,0.5835818181818182,0.6710909090909091,4.009090909090909,49.28181818181818,0,4.254545454545454,25.754545454545454,0.36363636363636365
76502,Bell,695926,1813.7219998590879,0.3301090909090909,0.6965363636363636,0.21877272727272726,0.5112363636363636,0.4016818181818182,1.3181818181818181,36.40909090909091,0,3,13.827272727272726,0.09090909090909091
76504,Bell,381033,1091.224510334136,0.5682111111111111,0.7900777777777778,0.41055555555555556,0.6974,0.6442666666666667,3.5888888888888886,49.84444444444444,0,5.055555555555555,22.988888888888887,0.2222222222222222
