ZCTA5,1a_65+,1a_50_64,1a_16_49,1a_0_15,1b_65+,1b_50_64,1b_16_49,1b_0_15,1c_65+,1c_50_64,1c_16_49,1c_0_15,2_65+,2_50_64,2_16_49,2_0_15,1a_total,1b_total,1c_total,2_total
75058,11.16762116420207,62.3589035584976,117.74555146701773,0.0,323.83237883579795,301.0541760476368,350.46922806466733,0.0,0.0,253.58692039386563,34.35298120720849,0.0,0.0,0.0,575.0322392611064,636.4,191.2720761897174,975.3557829481022,287.9399016010741,1211.4322392611064
75060,194.9341036223235,879.0023317648254,2181.6056213113047,0.0,4455.065896377677,3932.58049161331,7799.708977862465,0.0,0.0,2896.417176621864,804.7698641114481,0.0,0.0,0.0,11952.315536714785,12667.6,3255.5420566984535,16187.355365853451,3701.187040733312,24619.915536714783
75061,191.4127133633396,824.9484779432729,2705.208624061908,0.0,4374.587286636661,3517.449925518567,9329.493639684995,0.0,0.0,2891.60159653816,1019.509082243338,0.0,0.0,0.0,15141.58865400976,14524.2,3721.5698153685203,17221.530851840223,3911.110678781498,29665.78865400976
75062,182.77692296630764,903.5204300172174,2426.377120673151,0.0,4177.223077033693,3615.1282630632604,7849.051532349382,0.0,0.0,3404.3513069195224,947.156208099891,0.0,0.0,0.0,14067.015138877574,11733.4,3512.674473656676,15641.402872446335,4351.507515019413,25800.41513887757
75063,89.1666319149854,638.2688182262232,2207.4336581677676,0.0,2037.8333680850146,1585.9768313162167,4842.662304777611,0.0,0.0,3372.7543504575606,1006.6655471810662,0.0,0.0,0.0,14950.838489873553,9316.4,2934.869108308976,8466.472504178842,4379.419897638627,24267.238489873554
75065,26.68558164999487,140.09976945426985,251.32811146376204,0.0,1438.314418350005,1410.465342002348,1916.8313113836723,0.0,0.0,1396.4348885433822,204.9784044821686,0.0,0.0,0.0,3298.4621726703976,2556.4,418.11346256802676,4765.611071736025,1601.4132930255507,5854.862172670398
75067,93.26292016926534,521.4639874936837,1640.3772302209177,0.0,5026.737079830735,4702.5271925891275,11367.417881071651,0.0,0.0,5745.008819917189,1404.759518431844,0.0,0.0,0.0,22605.045370275584,15089.4,2255.1041378838668,21096.682153491514,7149.768338349033,37694.445370275585
75068,77.32443283565065,422.29597966144513,1524.5950718119122,0.0,4167.67556716435,3761.9811209629756,10452.609423561464,0.0,0.0,4698.72289937558,1312.1880167998145,0.0,0.0,0.0,21115.40748782681,18458.2,2024.215484309008,18382.26611168879,6010.910916175394,39573.60748782681
75069,191.36428434217308,494.17659997589493,1455.2884049240088,0.0,6403.635715657827,3053.1151269948,5686.803363964323,0.0,0.0,2453.7082730293055,729.3943369103248,0.0,0.0,0.0,9539.913894201345,7884.6,2140.829289242077,15143.554206616951,3183.1026099396304,17424.513894201344
75070,299.6251099495496,1470.3421417379775,4098.7522494472305,0.0,10026.37489005045,6561.270115552007,12417.302535774446,0.0,0.0,9823.387742710016,2309.952519570445,0.0,0.0,0.0,30212.39269520788,27195.6,5868.719501134758,29004.947541376903,12133.34026228046,57407.99269520788
75071,156.6024325390005,719.8953236109437,2268.913928942311,0.0,5240.397567460999,3430.221123681843,7279.26532987523,0.0,0.0,4591.883552707213,1249.8996644026804,0.0,0.0,0.0,16347.721076779777,14285.2,3145.411685092255,15949.884021018072,5841.7832171098935,30632.921076779778
75074,149.29025670060358,738.6709051464385,2239.9275166591146,0.0,4995.709743299396,3926.912662280025,7681.416841862172,0.0,0.0,4304.416432573536,1198.7629709975647,0.0,0.0,0.0,15678.892670481147,11345.0,3127.888678506157,16604.039247441593,5503.179403571101,27023.892670481146
75075,209.15144223478146,610.9475412799807,1473.3756587247112,0.0,6998.848557765218,3416.403831287571,5116.753632529798,0.0,0.0,3391.648627432449,783.9685328802734,0.0,0.0,0.0,10253.702175865215,6028.2,2293.4746422394733,15532.006021582587,4175.617160312722,16281.902175865216
75076,58.238310966749296,209.21058406173427,311.27832871124735,0.0,1688.7616890332506,1203.2738180138326,1038.1910635645854,0.0,0.0,657.5155979244332,84.52203049978448,0.0,0.0,0.0,1414.8085772243828,1490.2,578.7272237397309,3930.2265706116686,742.0376284242177,2905.008577224383
75077,92.16999532353177,383.17073016675084,729.0181417827306,0.0,4967.830004676468,3810.401182835605,5393.537331873821,0.0,0.0,3866.4280869976437,604.3173915839653,0.0,0.0,0.0,9724.527134759486,7530.6,1204.3588672730132,14171.768519385892,4470.745478581609,17255.12713475949
75078,56.872478743087086,372.8764613715801,1127.8957379306974,0.0,1903.1275212569128,1650.4874756256404,3440.798059388248,0.0,0.0,2504.6360630027793,633.9628152787624,0.0,0.0,0.0,8291.743387402292,8820.6,1557.6446780453646,6994.4130562708015,3138.5988782815416,17112.343387402292
75080,315.03866424123896,896.792207706096,2560.9669055997724,0.0,7199.961335758761,3220.849915826797,7139.757908872493,0.0,0.0,3746.3578764671074,1071.9053530203205,0.0,0.0,0.0,15919.769832507416,10459.6,3772.797777547107,17560.56916045805,4818.263229487427,26379.369832507415
